Stand	ForestType	VolumePerHA	StemsPerHA	Tree	Sample	Year	CA	RA	LWP	RD	R	TreeAge	h	DBHr	Hr	H	DBH	D	relD	relH	Vr	Vr_Hr_h	SL0	SL1	KIr	KSIr	KImax	KImean	KSImax	KSImean	knotIndex_total	hCrKI	hCrKSI	relhCrKI	relhCrKSI	CrlKI	CrlKSI	relCrlKI	relCrlKSI	dCrKI	dCrKSI	reldCrKI	reldCrKSI	r
1	OMT	389.4	952	102	1	1966	2	12.15013818	31.9756641	615.701678	1.849999	2	0	-759.5862037	0.273907964	20	28.2	38.49831212	-0.050683269	0	1.86E-05	1.86E-05	0	0	0.0027441	0.113986052	0.0027441	0.00137205	0.113986052	0.072537996	0.0027441	0.1	0.1	-1	-1	0.173907964	0.173907964	0.634913865	0.634913865	-0.1	-0.1	-0.365086135	-0.365086135	0.3699998
1	OMT	389.4	952	102	1	1967	3	40.01010086	45.2358399	573.956271	2.700001	3	0	-201.7464575	0.399757934	20	28.2	38.49831212	-0.19082522	0	5.78E-05	5.78E-05	0	3.213148859	0.007299265	0.199360063	0.007299265	0.005274732	0.199360063	0.16156882	0.015824195	0.1	0.1	-1	-1	0.299757934	0.299757934	0.749848617	0.749848617	-0.1	-0.1	-0.250151383	-0.250151383	0.5400002
1	OMT	389.4	952	102	1	1968	4	52.07777882	49.2751029	439.060964	4.474999	4	0	-28.03606673	0.662561367	20	28.2	38.49831212	-1.373170941	0	0.000263338	0.000263338	0	18.07713614	0.011854429	0.284734074	0.011854429	0.008542284	0.284734074	0.223039676	0.051253707	0.1	0.1	-1	-1	0.562561367	0.562561367	0.849070584	0.849070584	-0.1	-0.1	-0.150929416	-0.150929416	0.8949998
1	OMT	389.4	952	102	1	1969	5	66.46823683	39.7710771	361.192877	6.049999	5	0	-6.70987774	0.895753408	20	28.2	38.49831212	-5.737557912	0	0.000650729	0.000650729	8.411688415	29.32323664	0.013947215	0.323957595	0.013947215	0.011085973	0.323957595	0.27086716	0.088687782	0.1	0.1	-1	-1	0.795753408	0.795753408	0.888362133	0.888362133	-0.1	-0.1	-0.111637867	-0.111637867	1.2099998
1	OMT	389.4	952	102	1	1970	6	88.79924415	34.5960263	423.279932	7.599999	6	0	-1.426328433	1.125243989	20	28.2	38.49831212	-26.99119728	0	0.001289956	0.001289956	0	22.40925244	0.015532063	0.353661203	0.015532063	0.011930991	0.353661203	0.28596201	0.131240901	0.1	0.1	-1	-1	1.025243989	1.025243989	0.911130385	0.911130385	-0.1	-0.1	-0.088869615	-0.088869615	1.5199998
1	OMT	389.4	952	102	1	1971	7	106.4272939	31.2985518	360.302579	9.275002	7	0	0.342317956	1.373242319	20	28.2	38.49831212	112.4636072	0	0.002344641	0.002344641	12.74380471	41.4282474	0.01718363	0.384615265	0.01718363	0.014214969	0.384615265	0.329894213	0.184794602	0.1	0.1	-1	-1	1.273242319	1.273242319	0.92717964	0.92717964	-0.1	-0.1	-0.07282036	-0.07282036	1.8550004
1	OMT	389.4	952	102	1	1972	8	187.4196633	22.4918184	341.856422	10.950001	8	0	1.007971177	1.621240056	20	28.2	38.49831212	38.19386208	0	0.003858129	0.003858129	0	36.25462271	0.018196664	0.403601798	0.018196664	0.014902328	0.403601798	0.343006427	0.238437242	0.1	0.1	-1	-1	1.521240056	1.521240056	0.93831882	0.93831882	-0.1	-0.1	-0.06168118	-0.06168118	2.1900002
1	OMT	389.4	952	102	1	1973	9	200.4333449	24.3046311	347.354537	13.400002	9	0	1.498586712	1.98398338	20	28.2	38.49831212	25.68974608	0	0.007070479	0.007070479	30.20706177	53.19867559	0.019600211	0.429907434	0.019600211	0.017192417	0.429907434	0.386157412	0.326655914	0.1	0.1	-1	-1	1.88398338	1.88398338	0.949596352	0.949596352	-0.1	-0.1	-0.050403648	-0.050403648	2.6800004
1	OMT	389.4	952	102	1	1974	10	293.3069268	16.6679744	324.596448	15.599999	10	0	1.853705371	2.309711502	20	28.2	38.49831212	20.76830155	0	0.011155986	0.011155986	42.31958553	61.49077424	0.020540629	0.447532974	0.020664672	0.018484234	0.450010874	0.410598547	0.406653143	0.2	0.2	-1	-1	2.109711502	2.109711502	0.913409099	0.913409099	-0.2	-0.2	-0.086590901	-0.086590901	3.1199998
1	OMT	389.4	952	102	1	1975	11	239.9649074	29.273281	338.015019	18.349999	11	0	2.318410688	2.716872209	20	28.2	38.49831212	16.60547561	0	0.018156929	0.018156929	45.78527857	69.97789822	0.021738794	0.469989276	0.021738794	0.01975716	0.469989276	0.434762153	0.513686171	0.1	0.1	-1	-1	2.616872209	2.616872209	0.963192969	0.963192969	-0.1	-0.1	-0.036807031	-0.036807031	3.6699998
1	OMT	389.4	952	102	1	1976	12	267.9778659	31.1870516	317.974181	20.325001	12	0	2.677219701	3.009287923	20	28.2	38.49831212	14.37995996	0	0.024673229	0.024673229	48.38454834	72.577168	0.022431193	0.48296639	0.022431193	0.020627196	0.48296639	0.451298149	0.59818868	0.1	0.1	-1	-1	2.909287923	2.909287923	0.966769547	0.966769547	-0.1	-0.1	-0.033230453	-0.033230453	4.0650002
1	OMT	389.4	952	102	1	1977	13	370.3152497	18.8481273	308.579228	22.325001	13	0	3.058730566	3.305404801	20	28.2	38.49831212	12.58636918	0	0.032697061	0.032697061	50.98381812	75.17643778	0.023057544	0.494705617	0.023057544	0.021383873	0.494705617	0.465709563	0.68428395	0.1	0.1	-1	-1	3.205404801	3.205404801	0.969746519	0.969746519	-0.1	-0.1	-0.030253481	-0.030253481	4.4650002
1	OMT	389.4	952	102	1	1978	14	548.9460363	27.1385311	385.231005	24.825001	14	0	3.554746887	3.675550899	20	28.2	38.49831212	10.83011346	0	0.044957493	0.044957493	32.67153967	73.62069987	0.023764862	0.507962342	0.023764862	0.022163108	0.507962342	0.480620276	0.797871897	0.1	0.1	-1	-1	3.575550899	3.575550899	0.972793194	0.972793194	-0.1	-0.1	-0.027206806	-0.027206806	4.9650002
1	OMT	389.4	952	102	1	1979	15	332.9677761	36.429084	335.093456	28.125	15	0	4.23094509	4.1641436	20	28.2	38.49831212	9.099222822	0	0.065375022	0.065375022	37.00365597	72.25998729	0.02452398	0.52218991	0.024652685	0.023242423	0.525318083	0.501231686	0.952939341	0.4	0.7	-1	-1	3.7641436	3.4641436	0.903941833	0.831898208	-0.4	-0.7	-0.096058167	-0.168101792	5.625
1	OMT	389.4	952	102	1	1980	16	393.9494392	26.6630055	486.11208	29.950001	16	0	4.611528738	4.434350399	20	28.2	38.49831212	8.348275444	0	0.078945028	0.078945028	0	68.28736844	0.024985342	0.530836875	0.025147654	0.023603215	0.534797271	0.508223314	1.038541455	0.7	0.7	-1	-1	3.734350399	3.734350399	0.842141478	0.842141478	-0.7	-0.7	-0.157858522	-0.157858522	5.9900002
1	OMT	389.4	952	102	1	1981	17	973.4198038	14.4181396	339.732724	31.974999	17	0	5.037252296	4.734168442	20	28.2	38.49831212	7.642720645	0	0.096065152	0.096065152	0	70.88663822	0.025416428	0.538916404	0.025627011	0.024239374	0.543934558	0.520375951	1.139250601	0.8	0.8	-1	-1	3.934168442	3.934168442	0.83101573	0.83101573	-0.8	-0.8	-0.16898427	-0.16898427	6.3949998
