Stand	TreeID	StemSection	Year	EWD	EWW	LWD	LWW	RW	RD	R	CA	RA	LWP
1	102	1	1964	0.288210167	0.813139438	0.598388052	0.611859562	1.424999	0.421392931	0	0	6.379387629	0.429375433
1	102	1	1965	0.613019678	0.162937945	0.655318256	0.262062055	0.425	0.639101684	1.424999	1	4.372701604	0.6166166
1	102	1	1966	0.579881936	0.578208216	0.691903823	0.271793784	0.850002	0.615701678	1.849999	2	12.15013818	0.319756641
1	102	1	1967	0.55522311	0.972062746	0.59663532	0.802935254	1.774998	0.573956271	2.700001	3	40.01010086	0.452358399
1	102	1	1968	0.360634092	0.798917129	0.519795347	0.776082871	1.575	0.439060964	4.474999	4	52.07777882	0.492751029
1	102	1	1969	0.288309741	0.933548305	0.471566372	0.616451695	1.55	0.361192877	6.049999	5	66.46823683	0.397710771
1	102	1	1970	0.327391539	1.095518522	0.604557456	0.579484478	1.675003	0.423279932	7.599999	6	88.79924415	0.345960263
1	102	1	1971	0.283500847	1.15074857	0.528885147	0.52425043	1.674999	0.360302579	9.275002	7	106.4272939	0.312985518
1	102	1	1972	0.289215353	1.898951225	0.523260768	0.551049775	2.450001	0.341856422	10.950001	8	187.4196633	0.224918184
1	102	1	1973	0.284531614	1.665295845	0.543012899	0.534701155	2.199997	0.347354537	13.400002	9	200.4333449	0.243046311
1	102	1	1974	0.281944728	2.291630703	0.537834968	0.458369297	2.75	0.324596448	15.599999	10	293.3069268	0.166679744
1	102	1	1975	0.257989607	1.396854114	0.531363172	0.578147886	1.975002	0.338015019	18.349999	11	239.9649074	0.29273281
1	102	1	1976	0.238601634	1.376258969	0.493106446	0.623741031	2	0.317974181	20.325001	12	267.9778659	0.311870516
1	102	1	1977	0.257978389	2.028796817	0.526444525	0.471203183	2.5	0.308579228	22.325001	13	370.3152497	0.188481273
1	102	1	1978	0.300643655	2.404427744	0.612330936	0.895571256	3.299999	0.385231005	24.825001	14	548.9460363	0.271385311
1	102	1	1979	0.252911092	1.160169853	0.478506564	0.664831147	1.825001	0.335093456	28.125	15	332.9677761	0.36429084
1	102	1	1980	0.429663645	1.485072671	0.641374341	0.539925329	2.024998	0.48611208	29.950001	16	393.9494392	0.266630055
1	102	1	1981	0.29826778	3.872576615	0.585856502	0.652420385	4.524997	0.339732724	31.974999	17	973.4198038	0.144181396
1	102	1	1982	0.344428951	4.929571043	0.637162386	1.045434957	5.975006	0.39564794	36.499996	18	1482.442448	0.174968018
1	102	1	1983	0.254592975	3.438971921	0.370724352	0.236024079	3.674996	0.262051433	42.475002	19	1023.205796	0.064224309
1	102	1	1984	0.361057469	1.716571861	0.578897769	0.533428139	2.25	0.412702867	46.149998	20	668.3345389	0.237079173
1	102	1	1985	0.305089534	4.631647875	0.63337983	0.643353125	5.275001	0.34512869	48.399998	21	1691.577091	0.121962655
1	102	1	1986	0.287602903	3.769879067	0.630298961	0.605120933	4.375	0.335002344	53.674999	22	1535.600644	0.138313356
1	102	1	1987	0.284732142	3.320391405	0.6382814	0.479611595	3.800003	0.329354824	58.049999	23	1431.373587	0.126213478
1	102	1	1988	0.263077263	3.450785887	0.595199322	0.449208113	3.899994	0.301331661	61.850002	24	1563.379738	0.115181745
1	102	1	1989	0.299223102	2.971420954	0.523479772	0.378585046	3.350006	0.324566407	65.749996	25	1419.209148	0.113010259
1	102	1	1990	0.269592867	3.643300939	0.504878476	0.456698061	4.099999	0.295801284	69.100002	26	1832.898993	0.111389798
1	102	1	1991	0.275776303	3.522777958	0.550009756	0.327220042	3.849998	0.299084025	73.200001	27	1817.292596	0.084992263
1	102	1	1992	0.279429483	2.517543958	0.592844684	0.332455042	2.849999	0.315989659	77.049999	28	1405.257436	0.116650933
1	102	1	1993	0.251898564	2.418812974	0.608478	0.556185026	2.974998	0.318562186	79.899998	29	1521.332835	0.186953076
1	102	1	1994	0.278122328	2.106730178	0.54118729	0.393269822	2.5	0.319504532	82.874996	30	1321.432347	0.157307929
1	102	1	1995	0.303217603	1.707694161	0.54467063	0.367310839	2.075005	0.345958856	85.374996	31	1126.615127	0.177016845
1	102	1	1996	0.265056959	1.73222712	0.539144769	0.29277388	2.025001	0.304684471	87.450001	32	1125.548792	0.144579622
1	102	1	1997	0.253592678	1.628128995	0.512832032	0.321868005	1.949997	0.296382925	89.475002	33	1108.210818	0.165060769
1	102	1	1998	0.276812696	1.198326658	0.579433431	0.326675342	1.525002	0.341638009	91.424999	34	883.3286554	0.214213058
1	102	1	1999	0.271140701	0.958888487	0.489947874	0.266109513	1.224998	0.318672755	92.950001	35	720.1402178	0.21723261
1	102	1	2000	0.306325475	0.489840326	0.482879467	0.260159674	0.75	0.367568447	94.174999	36	445.5563734	0.346879565
1	102	1	2001	0.287325261	0.622919881	0.536758857	0.277082119	0.900002	0.364117967	94.924999	37	539.3341173	0.307868337
1	102	1	2002	0.267790759	0.765489737	0.37380723	0.234510263	1	0.29265271	95.825001	38	605.227831	0.234510263
1	102	1	2003	0.368830194	0.763330352	0.668187983	0.536672648	1.300003	0.492412322	96.825001	39	796.1913919	0.412824161
1	102	1	2004	0.306942674	1.946783427	0.653246089	0.628213573	2.574997	0.391429183	98.125004	40	1608.413102	0.24396672
1	102	1	2005	0.267412417	3.844702274	0.537249103	0.705300726	4.550003	0.309240084	100.700001	41	2943.902094	0.155011046
1	102	1	2006	0.269081165	4.066823407	0.535601254	0.758173593	4.824997	0.310960672	105.250004	42	3263.934135	0.157134521
1	102	1	2007	0.250341474	3.237503	0.329851228	0.8125	4.050003	0.266292493	110.075001	43	2852.599722	0.200617135
1	102	1	2008	0.443523739	0.399894514	0.569798642	0.550102486	0.949997	0.516644115	114.125004	44	684.0482392	0.579057077
1	102	1	2009	0.271869727	3.623312817	0.664937037	0.676690183	4.300003	0.333726612	115.075001	45	3167.151787	0.1573697
1	102	1	2010	0.302360061	3.009359071	0.641090492	0.490640929	3.5	0.349844351	119.375004	46	2663.677959	0.140183123
1	102	1	2011	0.288325413	2.625922079	0.627221515	0.499077921	3.125	0.342448793	122.875004	47	2443.324677	0.159704935
1	102	1	2012	0.296687289	1.957323305	0.6838545	0.567670695	2.524994	0.383730458	126.000004	48	2019.02024	0.224820611
1	102	1	2013	0.302543344	1.772043844	0.610796123	0.502965156	2.275009	0.370692704	128.524998	49	1853.435114	0.22108271
1	102	1	2014	0.311855485	1.848231352	0.591837481	0.551762648	2.399994	0.376223816	130.800007	50	1990.508189	0.229901678
1	102	1	2015	0.286930052	1.923767433	0.637034345	0.601226567	2.524994	0.370293419	133.200001	51	2133.24823	0.238110097
1	102	1	2016	0.291606576	2.037044674	0.5179142	0.387958326	2.425003	0.327811862	135.724995	52	2086.481471	0.159982617
1	102	1	2017	0.292477673	1.832303635	0.682172106	0.442705365	2.275009	0.368310259	138.149998	53	1991.017782	0.194594995
1	102	1	2018	0.295089105	2.148498847	0.599372296	0.426498153	2.574997	0.345487695	140.425007	54	2292.792605	0.165630544
1	102	1	2019	0.30964227	1.64051043	0.686328705	0.63448357	2.274994	0.414698087	143.000004	55	2060.331546	0.278894612
1	102	2	1979	0.153480087	0.222832026	0.471588671	0.777167974	1	0.400703891	0	0	3.141592654	0.777167974
1	102	2	1980	0.444063779	1.137499781	0.493341665	0.612500219	1.75	0.461311045	1	1	20.61670179	0.350000125
1	102	2	1981	0.3505842	1.4025002	0.480342053	1.3474998	2.75	0.414165538	2.75	2	71.27488333	0.489999927
1	102	2	1982	0.40044398	0.844142571	0.635723158	0.605858429	1.450001	0.498751411	5.5	3	56.71364505	0.417833111
1	102	2	1983	0.314874984	2.40866946	0.544682572	0.51632954	2.924999	0.355441304	6.950001	4	154.6075483	0.17652298
1	102	2	1984	0.274698483	1.360803593	0.342515785	1.139196407	2.5	0.305601374	9.875	5	174.7510914	0.455678563
1	102	2	1985	0.353432191	0.921861263	0.550577401	0.428139737	1.350001	0.415954884	12.375	6	110.6941034	0.317140311
1	102	2	1986	0.297070665	3.200185297	0.590385888	0.449813703	3.649999	0.333217854	13.725001	7	356.6178038	0.123236665
1	102	2	1987	0.29569646	3.118339109	0.594896765	0.481663891	3.600003	0.335728089	17.375	8	433.7286771	0.133795414
1	102	2	1988	0.306097811	3.23162314	0.615507577	0.39337686	3.625	0.339674264	20.975003	9	519.0206271	0.108517754
1	102	2	1989	0.292510842	3.440834547	0.66668055	0.584162453	4.024997	0.346815452	24.600003	10	673.024894	0.145133637
1	102	2	1990	0.277459156	4.156388021	0.629575233	0.618613979	4.775002	0.323076713	28.625	11	930.4439524	0.129552611
1	102	2	1991	0.31185784	3.498556312	0.581351377	0.476441688	3.974998	0.344159229	33.400002	12	883.825805	0.119859604
1	102	2	1992	0.286969653	3.982271356	0.518510578	0.692728644	4.675	0.321278751	37.375	13	1166.510659	0.14817725
1	102	2	1993	0.285537411	3.768324004	0.560296719	0.456677996	4.225002	0.315235984	42.05	14	1172.35853	0.108089415
1	102	2	1994	0.279927639	3.062681568	0.627235654	0.512319432	3.575001	0.329698995	46.275002	15	1079.598856	0.143306095
1	102	2	1995	0.248824114	2.989000417	0.652396361	0.735993583	3.724994	0.328562922	49.850003	16	1210.322146	0.197582488
1	102	2	1996	0.270407759	3.171004843	0.606428619	0.478997157	3.650002	0.314504457	53.574997	17	1270.523551	0.131232026
1	102	2	1997	0.280446555	2.735773381	0.52965486	0.489224619	3.224998	0.318250869	57.224999	18	1192.239523	0.15169765
1	102	2	1998	0.257197761	2.260876992	0.555319223	0.364123008	2.625	0.29855124	60.449997	19	1018.671186	0.138713527
1	102	2	1999	0.253906789	1.894209748	0.556529826	0.355790252	2.25	0.301760267	63.074997	20	907.6060752	0.158129001
1	102	2	2000	0.267953589	1.565624883	0.570033835	0.359378117	1.925003	0.324348841	65.324997	21	801.757275	0.18668964
1	102	2	2001	0.261184438	0.959871441	0.571529874	0.340131559	1.300003	0.342382925	67.25	22	554.6180592	0.261639057
1	102	2	2002	0.278328635	0.706265325	0.491560096	0.318728675	1.024994	0.34463437	68.550003	23	444.7781938	0.310956625
1	102	2	2003	0.282070814	0.758549887	0.555015748	0.366450113	1.125	0.370978104	69.574997	24	495.772752	0.325733434
1	102	2	2004	0.312889808	1.877080187	0.572086006	0.522921813	2.400002	0.369364489	70.699997	25	1084.22733	0.217883907
1	102	2	2005	0.268728763	1.925843428	0.623981728	0.649160572	2.575004	0.35828832	73.099999	26	1203.532287	0.252100801
1	102	2	2006	0.262667051	3.74727584	0.543108304	0.57772116	4.324997	0.30012762	75.675003	27	2115.215236	0.133577239
1	102	2	2007	0.255344458	3.784442853	0.485483827	0.915554147	4.699997	0.300175349	80	28	2431.873861	0.194798879
1	102	2	2008	0.255626874	4.173196623	0.552117868	0.851805377	5.025002	0.305886083	84.699997	29	2753.561833	0.16951344
1	102	2	2009	0.268790492	3.233144675	0.638198205	0.741853325	3.974998	0.337733002	89.724999	30	2290.579162	0.186629861
1	102	2	2010	0.297124146	2.216061285	0.62897028	0.708941715	2.925003	0.377554685	93.699997	31	1748.92836	0.242372987
1	102	2	2011	0.282459302	2.10081401	0.558831214	0.47418299	2.574997	0.333352899	96.625	32	1584.144262	0.184148949
1	102	2	2012	0.302057402	1.511979877	0.663615479	0.513022123	2.025002	0.393655974	99.199997	33	1275.049992	0.253344008
1	102	2	2013	0.285841235	1.428385439	0.632553993	0.546612561	1.974998	0.381799585	101.224999	34	1268.383345	0.276766134
1	102	2	2014	0.306151004	1.808950863	0.588853275	0.641054137	2.450005	0.380121245	103.199997	35	1607.501256	0.261654216
1	102	2	2015	0.286597062	1.716156294	0.589496154	0.583838706	2.299995	0.363486018	105.650002	36	1543.398276	0.253843467
1	102	2	2016	0.303132529	1.748320221	0.518063356	0.551682779	2.300003	0.354686217	107.949997	37	1576.641724	0.239861765
1	102	2	2017	0.288333143	1.239815298	0.587690342	0.435187702	1.675003	0.366110061	110.25	38	1169.124217	0.259813088
1	102	2	2018	0.31540634	0.989883068	0.61330385	0.510116932	1.5	0.416714716	111.925003	39	1061.936885	0.340077955
1	102	2	2019	0.291883456	1.122864274	0.520093483	0.552131726	1.674996	0.367108708	113.425003	40	1202.534011	0.329631668
1	102	3	1988	0.126416895	0.239651432	0.627114314	0.660348568	0.9	0.493788921	0	0	2.544690049	0.733720631
1	102	3	1989	0.502630049	1.131196926	0.519042171	0.318803074	1.45	0.506238487	0.9	1	14.80475538	0.219864189
1	102	3	1990	0.463941919	0.883377157	0.534756149	0.466623843	1.350001	0.488418648	2.35	2	25.65898125	0.345647035
1	102	3	1991	0.371142454	3.032409453	0.564672818	0.367589547	3.399999	0.392065913	3.700001	3	115.359259	0.108114604
1	102	3	1992	0.356524899	1.380938723	0.521868005	0.469062277	1.850001	0.398447154	7.1	4	93.2817961	0.25354704
1	102	3	1993	0.339470022	2.3151629	0.579022418	0.4598361	2.774999	0.379165474	8.950001	5	180.2429318	0.165706762
1	102	3	1994	0.311815592	3.345735439	0.558421173	0.504264561	3.85	0.34411545	11.725	6	330.1970959	0.130977808
1	102	3	1995	0.287482067	3.62648515	0.450637425	0.97351485	4.6	0.322011233	15.575	7	516.6349119	0.211633663
1	102	3	1996	0.262738295	2.684500008	0.477933282	1.040499992	3.725	0.322848465	20.175	8	515.7847184	0.279328857
1	102	3	1997	0.279838752	2.670824527	0.523195981	1.179176473	3.850001	0.354374088	23.9	9	624.7137275	0.306279524
1	102	3	1998	0.30036886	2.906239097	0.565680903	0.893759903	3.799999	0.362770262	27.750001	10	707.9263142	0.235200036
1	102	3	1999	0.29540061	3.027590785	0.612005044	0.522408215	3.549999	0.341991259	31.55	11	743.3241632	0.147157285
1	102	3	2000	0.292341035	2.611735987	0.614634762	0.563264013	3.175	0.349517872	35.099999	12	731.8830761	0.177405988
1	102	3	2001	0.287814985	3.613538147	0.560855631	0.636461853	4.25	0.328704386	38.274999	13	1078.822891	0.14975573
1	102	3	2002	0.267325194	3.411590299	0.368114725	0.213409701	3.625	0.273258839	42.524999	14	1009.855118	0.058871642
1	102	3	2003	0.394550961	1.924157013	0.68251521	0.600843987	2.525001	0.463074335	46.149999	15	752.2016365	0.23795792
1	102	3	2004	0.247021434	2.597128289	0.336308479	0.777871711	3.375	0.267600357	48.675	16	1067.974605	0.230480507
1	102	3	2005	0.438975134	0.584482383	0.694815537	0.740518617	1.325001	0.581959616	52.05	17	438.8435227	0.558881553
1	102	3	2006	0.276582369	5.556134405	0.595060678	0.593863595	6.149998	0.30733566	53.375001	18	2181.317026	0.096563218
1	102	3	2007	0.272862133	4.72915396	0.52687424	0.67084704	5.400001	0.304418289	59.524999	19	2111.244885	0.12423091
1	102	3	2008	0.273801881	4.570623109	0.573323459	0.629373891	5.199997	0.310054029	64.925	20	2206.213535	0.12103351
1	102	3	2009	0.267479613	3.894147284	0.619162045	0.505854716	4.400002	0.307911462	70.124997	21	1999.498914	0.114966929
1	102	3	2010	0.301351966	2.630027218	0.592672046	0.644973782	3.275001	0.358724105	74.524999	22	1567.229124	0.196938499
1	102	3	2011	0.297275696	2.523143786	0.609768231	0.476856214	3	0.346947031	77.8	23	1494.769785	0.158952071
1	102	3	2012	0.304887888	2.46569004	0.64640817	0.50930896	2.974999	0.363354913	80.8	24	1538.156616	0.171196347
1	102	3	2013	0.296687743	1.910063711	0.605759891	0.464936289	2.375	0.357192525	83.774999	25	1267.858423	0.195762648
1	102	3	2014	0.33009984	2.364025484	0.627817427	0.560977516	2.925003	0.387198199	86.149999	26	1610.171961	0.191786988
1	102	3	2015	0.305353796	2.585611904	0.569756057	0.589383096	3.174995	0.354435518	89.075002	27	1808.633631	0.185632764
1	102	3	2016	0.302968629	2.435734244	0.523629534	0.614268756	3.050003	0.347409602	92.249997	28	1797.079131	0.201399394
1	102	3	2017	0.30121008	2.486864024	0.546365535	0.463132976	2.949997	0.339698111	95.3	29	1793.761159	0.156994389
1	102	3	2018	0.312025253	1.590116542	0.588826291	0.534883458	2.125	0.381698804	98.249997	30	1325.997497	0.251709863
1	102	3	2019	0.319211603	2.11557668	0.918342418	0.78442532	2.900002	0.481271278	100.374997	31	1855.37874	0.270491303
1	110	1	1969	0.221161904	0.111873725	0.642491449	0.513126275	0.625	0.56707432	0	0	1.22718463	0.82100204
1	110	1	1970	0.477951634	1.074698139	0.699185166	0.825301861	1.9	0.574048711	0.625	1	18.80243203	0.434369401
1	110	1	1971	0.459616717	0.572756019	0.685110387	0.802243981	1.375	0.591181036	2.525	2	27.7540076	0.583450168
1	110	1	1972	0.495531252	0.402806761	0.613907845	0.522194239	0.925001	0.562358828	3.9	3	25.35464653	0.564533702
1	110	1	1973	0.355075752	1.220248543	0.55675888	0.304750457	1.524999	0.395379402	4.825001	4	53.53859899	0.199836496
1	110	1	1974	0.312593113	1.177017943	0.453242681	0.322982057	1.5	0.342877971	6.35	5	66.91592352	0.215321371
1	110	1	1975	0.311564487	0.798533366	0.529745139	0.276465634	1.074999	0.367675657	7.85	6	56.65267694	0.257177573
1	110	1	1976	0.295504138	0.791715438	0.476850054	0.308285562	1.100001	0.346328026	8.924999	7	65.48655494	0.280259347
1	110	1	1977	0.281582561	1.609222777	0.511049211	0.340777223	1.95	0.32168359	10.025	8	134.7743248	0.17475755
1	110	1	1978	0.333257234	1.120710272	0.553693148	0.654289728	1.775	0.414512982	11.975	9	143.451011	0.368613931
1	110	1	1979	0.243929209	0.520729011	0.529487811	1.204270989	1.725	0.443285696	13.75	10	158.3775031	0.69812811
