Stand	ForestType	TreeID	DBH	H	StemSection	buttH	topH	topD	buttD	KnotClusterCount	KnotClusterDistanceAverage	KnotVolume	KnotIndex	KnotSizeIndex
1	OMT	101	31.2	21.1	1	0	457.3	250.08	309	11	279	7.762	0.0297	0.7056
1	OMT	101	31.2	21.1	2	457.3	914.6	215.81	252	8	330	8.214	0.0407	1.0268
1	OMT	101	31.2	21.1	3	916.8	1374.1	158.37	219	8	364	9.261	0.0702	1.1576
1	OMT	102	28.2	20	1	0	433.7	272.67	324	11	250	12.917	0.0391	1.1743
1	OMT	102	28.2	20	2	433.7	862.4	237.65	283	11	225	8.853	0.0399	0.8048
1	OMT	103	23.8	20.8	1	0	460.6	163.18	196	5	398	2.195	0.0189	0.439
1	OMT	104	30.3	21.6	1	0	430.3	255.24	280	12	239	6.698	0.0284	0.5582
1	OMT	104	30.3	21.6	2	430.3	860.6	213.57	255	9	319	7.587	0.0361	0.843
1	OMT	104	30.3	21.6	3	891.5	1321.8	199.43	222	7	362	3.848	0.0252	0.5497
1	OMT	106	24	19	1	0	431.5	233.99	289	12	237	12.867	0.0577	1.0723
1	OMT	109	33.9	21.6	1	0	430.9	274	344	15	179	6.649	0.0217	0.4433
1	OMT	109	33.9	21.6	2	430.9	861.8	232.77	275	9	314	4.619	0.0204	0.5132
1	OMT	109	33.9	21.6	3	862.4	1293.3	174.94	234	9	247	5.627	0.038	0.6252
1	OMT	110	36	25	1	0	462.9	281.16	341	10	254	7.226	0.0206	0.7226
1	OMT	110	36	25	2	462.9	925.8	245.78	282	9	281	8.118	0.033	0.902
1	OMT	110	36	25	3	895.5	1358.4	196.72	243	9	238	7.762	0.0439	0.8624
1	OMT	111	29.4	25.8	1	0	460.1	197.22	225	11	281	6.805	0.0405	0.6186
1	OMT	111	29.4	25.8	2	460.1	920.2	159.93	200	5	386	10.222	0.0852	2.0444
1	OMT	112	31.1	25.7	1	0	461.8	259.72	324	23	89	11.821	0.0399	0.514
1	OMT	112	31.1	25.7	2	461.8	923.6	231	264	10	278	11.958	0.0564	1.1958
1	OMT	113	30.6	24.4	1	0	490.4	244.47	297	11	258	9.216	0.0334	0.8378
1	OMT	113	30.6	24.4	2	490.4	980.8	159.96	209	11	220	6.497	0.052	0.5906
1	OMT	114	30.1	25.6	1	0	432	228.27	305	12	195	6.547	0.0271	0.5456
1	OMT	114	30.1	25.6	2	432	864	201.91	237	16	191	5.767	0.0315	0.3604
1	OMT	114	30.1	25.6	3	892.6	1324.6	165.16	203	7	341	4.078	0.034	0.5826
1	OMT	115	31.6	25.2	1	0	462.9	261.22	322	20	128	12.754	0.044	0.6377
1	OMT	115	31.6	25.2	2	462.9	925.8	220.03	262	15	174	8.27	0.0374	0.5513
1	OMT	115	31.6	25.2	3	923.5	1386.4	175.42	228	10	261	5.834	0.0392	0.5834
1	OMT	116	38	26.6	1	0	428.7	327.11	405	21	123	15.185	0.0372	0.7231
1	OMT	116	38	26.6	2	428.7	857.4	293.15	329	15	138	17.703	0.0522	1.1802
1	OMT	116	38	26.6	3	860.2	1288.9	221.67	285	18	124	17.014	0.0635	0.9452
1	OMT	116	38	26.6	4	1351.1	1779.8	162.89	228	15	157	10.003	0.0736	0.6669
1	OMT	117	36	26.6	1	0	491.5	286.18	336	15	162	10.891	0.0287	0.7261
1	OMT	117	36	26.6	2	491.5	983	247.57	293	10	297	8.233	0.029	0.8233
1	OMT	117	36	26.6	3	982.4	1473.9	188.3	246	9	371	8.215	0.0382	0.9128
1	OMT	117	36	26.6	4	1532.3	2023.8	154.74	212	6	475	3.425	0.024	0.5708
1	OMT	118	26.9	23.1	1	0	428.7	192.22	225	13	174	8.341	0.0528	0.6416
1	OMT	119	29.9	24.5	1	0	460.6	245.65	295	10	240	6.09	0.0232	0.609
